,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Bina Yaş,Isıtma Tipi,Binanın Kat Sayısı
3777,1495000.0,eskisehir,50.0,1.0,2.0,13.0,Klimalı,3
3784,1340000.0,eskisehir,50.0,2.0,2.0,13.0,Klimalı,3
3798,950000.0,eskisehir,50.0,1.0,2.0,0.0,Klimalı,3
3801,1000000.0,eskisehir,45.0,1.0,2.0,0.0,Kombi Doğalgaz,3
3802,1500000.0,eskisehir,45.0,2.0,2.0,0.0,Klimalı,4
3821,1340000.0,eskisehir,50.0,2.0,2.0,13.0,Klimalı,4
3836,1350000.0,eskisehir,60.0,1.0,2.0,7.0,Klimalı,2
3837,980000.0,eskisehir,70.0,2.0,2.0,7.0,Kombi Doğalgaz,3
3840,1475000.0,eskisehir,50.0,1.0,2.0,7.0,Klimalı,4
3844,850000.0,eskisehir,50.0,1.0,2.0,13.0,Kombi Doğalgaz,6
3853,1350000.0,eskisehir,45.0,2.0,2.0,0.0,Kombi Doğalgaz,5
3860,1175000.0,eskisehir,50.0,1.0,2.0,0.0,Sobalı,4
3894,1470000.0,eskisehir,70.0,2.0,2.0,7.0,Klimalı,2
3898,1350000.0,eskisehir,55.0,1.0,2.0,0.0,Kombi Doğalgaz,3
3906,13500002.0,eskisehir,55.0,2.0,2.0,13.0,Merkezi Doğalgaz,4
3907,1300000.0,eskisehir,50.0,2.0,2.0,0.0,Klimalı,3
3912,1200000.0,eskisehir,45.0,1.0,2.0,7.0,Klimalı,3
3916,1200000.0,eskisehir,50.0,2.0,2.0,0.0,Klimalı,4
3945,1325000.0,eskisehir,50.0,2.0,2.0,0.0,Klimalı,3
3961,2500000.0,eskisehir,55.0,2.0,2.0,0.0,Kombi Doğalgaz,3
3968,1195000.0,eskisehir,55.0,1.0,2.0,7.0,Kombi Doğalgaz,4
3969,1350000.0,eskisehir,60.0,1.0,2.0,7.0,Kombi Doğalgaz,4
3980,1450000.0,eskisehir,65.0,2.0,2.0,0.0,Kombi Doğalgaz,4
4003,14000003.0,eskisehir,65.0,1.0,2.0,0.0,Kombi Doğalgaz,4
4011,1300000.0,eskisehir,45.0,2.0,2.0,0.0,Merkezi Doğalgaz,3
4012,1450000.0,eskisehir,49.0,1.0,2.0,7.0,Kombi Doğalgaz,4
4026,1350000.0,eskisehir,45.0,1.0,2.0,0.0,Kombi Doğalgaz,5
4043,1450000.0,eskisehir,54.0,2.0,2.0,0.0,Merkezi Doğalgaz,4
4051,1025000.0,eskisehir,50.0,2.0,2.0,7.0,Kombi Doğalgaz,4
4103,850000.0,gaziantep,80.0,1.0,2.0,13.0,Klimalı,2
4133,750000.0,gaziantep,80.0,1.0,2.0,13.0,Yerden Isıtma,2
4170,690000.0,gaziantep,60.0,2.0,2.0,0.0,Kombi Doğalgaz,4
4174,1200000.0,gaziantep,94.0,1.0,2.0,7.0,Klimalı,3
4176,1600000.0,gaziantep,80.0,2.0,2.0,7.0,Kombi Doğalgaz,3
4266,1050000.0,gaziantep,55.0,2.0,2.0,7.0,Kombi Doğalgaz,4
4296,1080000.0,gaziantep,55.0,1.0,2.0,7.0,Yerden Isıtma,2
